NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME DA EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
100TEMPO ENTREGAS RAPIDAS LTDA;24/11/2006;1043772;30/11/2011;***;SERVIÇOS DE ENTREGA RÁPIDA;COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USADOS;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO;000187;***;***;***;CAPÃO DA IMBUIA;82810280
100TRAN CENTRO DE FORMACAO DE CONDUTORES EIRELI -;29/04/1998;1180829;02/06/2014;16/05/2015;FORMAÇÃO DE CONDUTORES;***;***;R. DESEMBARGADOR WESTPHALEN;000390;***;***;***;CENTRO;80010110
101STORE LTDA - ME;10/07/2009;1227091;10/06/2015;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTIC;R. CYRILLO MERLIN;000220;03;***;***;NOVO MUNDO;81010360
103 ENGENHARIA E CONSULTORIA S/C LTDA;01/02/1998;440638;18/03/1998;***;SERVIÇOS DE ENGENHARIA;SERVIÇOS DE DESENHO TÉCNICO RELACIONADOS À ARQUITE;REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE;R. ALFREDO BUFREN;000053;***;T;TR;CENTRO;80020240
10G HOLDING LTDA;06/07/2012;1080062;31/08/2012;***;HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS;ALUGUEL DE IMÓVEIS PRÓPRIOS;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;R. GENERAL THEODORICO GONÇALVES GUIMARÃES;000940;***;***;***;XAXIM;81720070
10G SERVICOS E LOCACAO DE EQUIPAMENTOS LTDA;18/06/2012;1074104;13/07/2012;***;ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIA;SERVIÇOS DE TELECOMUNICAÇÕES POR FIO NÃO ESPECIFIC;SERVIÇOS DE REDES DE TRANSPORTES DE TELECOMUNICAÇÕ;R. GENERAL THEODORICO GONÇALVES GUIMARÃES;000940;***;***;***;XAXIM;81720070
10G TELECOMUNICACOES LTDA;13/08/2008;935478;27/05/2010;***;ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIA;SERVIÇOS DE TELECOMUNICAÇÕES POR FIO NÃO ESPECIFIC;SERVIÇOS DE REDES DE TRANSPORTES DE TELECOMUNICAÇÕ;R. HEINRICH LOWEN;000076;03;***;***;XAXIM;81720150
10P FRANQUIA LTDA. EPP.;17/04/2012;1172412;24/03/2014;***;GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;R. TEN BRIG FRANCISCO DE ASSIS CORREA DE MELLO;000091;***;***;***;JARDIM DAS AMÉRICAS;81540210
10P LANCHES N&F LTDA. - ME;05/10/2012;1120050;18/02/2013;***;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;***;R. BATISTA GANZ;000430;***;***;***;SANTO INÁCIO;82010190
10P PRESTADORA DE SERVICOS LTDA. EPP.;20/06/1996;1172692;25/03/2014;***;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS;PROMOÇÃO DE VENDAS;R. TEN BRIG FRANCISCO DE ASSIS CORREA DE MELLO;000091;***;***;***;JARDIM DAS AMÉRICAS;81540210
10P SPORTS COMERCIO DE ALIMENTOS LTDA. - ME;14/05/2012;1090164;23/11/2012;31/12/2013;RESTAURANTES E SIMILARES;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;R. FRANCISCO DEROSSO;003488;10;TR;***;XAXIM;81720000
10RT;14/08/2015;1236590;20/08/2015;***;HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;***;R. LUIZ TRAMONTIN;001345;10;***;***;ABRANCHES;81230161
11 COMUNICACAO INTEGRADA LTDA;10/04/2008;914650;10/12/2009;***;AGÊNCIAS DE PUBLICIDADE;ARTES CÊNICAS, ESPETÁCULOS E ATIVIDADES COMPLEMENT;ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO;R. TONI BUSO;000036;***;***;***;PAROLIN;80220250
11 DE JULHO PARTICIPACOES LTDA;12/03/2012;1266146;20/04/2016;***;OUTRAS SOCIEDADES DE PARTICIPAÇÃO, EXCETO HOLDINGS;SOCIEDADES DE INVESTIMENTO;***;AV. JOÃO GUALBERTO;001881;601;06;***;JUVEVÊ;80030001
11 GRAOS PRODUTOS NATURAIS EIRELI - ME;12/08/2014;1190558;21/08/2014;31/12/2015;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;***;***;R. CORONEL JOAQUIM SARMENTO;000236;***;***;***;BOM RETIRO;80520230
11 PROMO PUBLICIDADE E PROPAGANDA LTDA - ME;30/01/2015;1227062;10/06/2015;***;PROMOÇÃO DE VENDAS;ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXP;R. TONI BUSO;000036;***;***;***;PAROLIN;80220250
11 TABEL IGNES MARIA P CAETANO;19/01/1969;434963;02/01/1998;***;CARTÓRIOS;***;***;R. MARECHAL DEODORO;000228;***;***;***;CENTRO;80010010
1155 TECNOLOGIA DA INFORMACAO LTDA;29/01/2013;1120005;18/02/2013;***;CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;LOCAÇÃO DE MÃO-DE-OBRA TEMPORÁRIA;R. EBANO PEREIRA;000164;111;11;***;CENTRO;80410240
1188 CONSULTING GROUP CONSULTORIA ESTRATEGICA E MA;19/08/2010;950645;30/09/2010;***;CONSULTORIA EM PUBLICIDADE;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERE;***;R. PROFESSOR MANOEL VIEIRA DE ALENCAR;000410;***;***;***;JARDIM SOCIAL;82520400
12. TABELIONATO DE NOTAS DE CURITIBA;06/11/2009;918654;04/01/2010;***;CARTÓRIOS;***;***;R. XV DE NOVEMBRO;001037;03;***;***;CENTRO;80060000
123 E JA EVENTOS ESPECIAIS LTDA - ME;28/09/2009;1227906;17/06/2015;31/12/2015;CASAS DE FESTAS E EVENTOS;***;***;AV. NOSSA SENHORA APARECIDA;000742;***;***;***;SEMINÁRIO;80310100
12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA;11/07/2013;1141235;30/07/2013;***;COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA;ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIA;AV. FREDERICO LAMBERTUCCI;001347;***;***;***;FAZENDINHA;81330000
13 M EDITORA LTDA;01/12/1991;930608;16/04/2010;***;EDIÇÃO DE REVISTAS;AGÊNCIAS DE PUBLICIDADE;***;R. XV DE NOVEMBRO;001700;04;02;***;ALTO DA RUA XV;80050000
